NO (ppm),C3H8 (ppm),NO2 (ppm),NH3 (ppm)
159.6444,0,0,0
159.7801,0,0,0
159.8633,0,0,0
159.8952,0,0,0
159.9208,0,0,0
159.9833,0,0,0
160.0682,0,0,0
160.142,0,0,0
178.8854,0,0,0
178.9399,0,0,0
178.9719,0,0,0
179.0028,0,0,0
179.0289,0,0,0
179.0395,0,0,0
179.0431,0,0,0
179.0751,0,0,0
179.0751,0,0,0
179.131,0,0,0
179.1678,0,0,0
179.2237,0,0,0
179.2487,0,0,0
179.438,0,0,0
179.438,0,0,0
179.5215,0,0,0
179.5489,0,0,0
179.5823,0,0,0
179.7138,0,0,0
179.7939,0,0,0
179.97,0,0,0
180.03,0,0,0
180.1345,0,0,0
180.1777,0,0,0
180.2402,0,0,0
180.2427,0,0,0
180.2499,0,0,0
180.2571,0,0,0
180.3341,0,0,0
180.3558,0,0,0
180.3702,0,0,0
180.3991,0,0,0
218.5244,0,0,0
218.5852,0,0,0
218.6507,0,0,0
218.7155,0,0,0
218.7329,0,0,0
218.8111,0,0,0
218.9069,0,0,0
218.933,0,0,0
218.933,0,0,0
218.9504,0,0,0
219.0597,0,0,0
219.0637,0,0,0
219.0811,0,0,0
219.1248,0,0,0
219.1509,0,0,0
219.212,0,0,0
219.483,0,0,0
219.7061,0,0,0
219.7682,0,0,0
219.7986,0,0,0
219.8162,0,0,0
219.8297,0,0,0
219.8513,0,0,0
219.8993,0,0,0
219.9216,0,0,0
220.2208,0,0,0
220.3354,0,0,0
220.353,0,0,0
220.4855,0,0,0
220.6139,0,0,0
220.6446,0,0,0
220.7508,0,0,0
0,30.1525,0,0
0,30.17718,0,0
0,30.18318,0,0
0,30.18678,0,0
0,30.19397,0,0
0,30.19397,0,0
0,30.19397,0,0
0,30.19757,0,0
0,30.21128,0,0
0,30.21199,0,0
0,30.218,0,0
0,30.2192,0,0
0,30.22231,0,0
0,30.22401,0,0
0,30.22882,0,0
0,30.23002,0,0
0,30.23845,0,0
0,30.27098,0,0
0,30.27632,0,0
0,30.29392,0,0
0,30.29634,0,0
0,30.29754,0,0
0,30.31931,0,0
0,30.34717,0,0
0,30.36658,0,0
0,30.3794,0,0
0,30.3848,0,0
0,30.3975,0,0
0,30.4213,0,0
0,30.43106,0,0
0,30.45057,0,0
0,30.4799,0,0
0,49.19932,0,0
0,49.20908,0,0
0,49.21096,0,0
0,49.23841,0,0
0,49.24232,0,0
0,49.24428,0,0
0,49.25798,0,0
0,49.27162,0,0
0,49.27364,0,0
0,49.2854,0,0
0,49.2854,0,0
0,49.29324,0,0
0,49.29716,0,0
0,49.30697,0,0
0,49.31089,0,0
0,49.31476,0,0
0,49.35016,0,0
0,49.35213,0,0
0,49.35606,0,0
0,49.36392,0,0
0,49.38753,0,0
0,49.39343,0,0
0,49.40324,0,0
0,49.51183,0,0
0,49.5871,0,0
0,49.59504,0,0
0,49.61489,0,0
0,49.62086,0,0
0,49.63476,0,0
0,49.64669,0,0
0,49.64868,0,0
0,49.7164,0,0
0,69.87012,0,0
0,69.87567,0,0
0,69.884,0,0
0,69.88955,0,0
0,69.8951,0,0
0,69.9201,0,0
0,69.92844,0,0
0,69.96229,0,0
0,70.00127,0,0
0,70.02309,0,0
0,70.03145,0,0
0,70.03751,0,0
0,70.03982,0,0
0,70.0426,0,0
0,70.0733,0,0
0,70.08447,0,0
0,70.09563,0,0
0,70.09843,0,0
0,70.15154,0,0
0,70.25189,0,0
0,70.29169,0,0
0,70.29169,0,0
0,70.30013,0,0
0,70.30293,0,0
0,70.33385,0,0
0,70.33718,0,0
0,70.41832,0,0
0,70.4437,0,0
0,70.48322,0,0
0,70.50864,0,0
0,70.559,0,0
0,70.57991,0,0
0,89.67862,0,0
0,89.71424,0,0
0,89.7178,0,0
0,89.72137,0,0
0,89.73991,0,0
0,89.76058,0,0
0,89.76415,0,0
0,89.78913,0,0
0,89.81412,0,0
0,89.85699,0,0
0,89.87129,0,0
0,89.8856,0,0
0,89.89991,0,0
0,89.93928,0,0
0,89.96436,0,0
0,89.98944,0,0
0,90.03966,0,0
0,90.05402,0,0
0,90.07198,0,0
0,90.24471,0,0
0,90.26634,0,0
0,90.31686,0,0
0,90.33131,0,0
0,90.35006,0,0
0,90.43257,0,0
0,90.45973,0,0
0,90.48872,0,0
0,90.48872,0,0
0,90.51411,0,0
0,90.61214,0,0
0,90.62486,0,0
0,90.64057,0,0
0,119.0212,0,0
0,119.1015,0,0
0,119.1015,0,0
0,119.1174,0,0
0,119.1252,0,0
0,119.1299,0,0
0,119.1394,0,0
0,119.1536,0,0
0,119.1631,0,0
0,119.1725,0,0
0,119.1773,0,0
0,119.201,0,0
0,119.204,0,0
0,119.2389,0,0
0,119.3148,0,0
0,119.329,0,0
0,119.4051,0,0
0,119.4241,0,0
0,119.4622,0,0
0,119.505,0,0
0,119.5081,0,0
0,119.5717,0,0
0,119.5741,0,0
0,119.6815,0,0
0,119.6999,0,0
0,119.8058,0,0
0,119.8154,0,0
0,119.9448,0,0
0,120.0216,0,0
0,120.1082,0,0
0,120.1635,0,0
0,120.1683,0,0
0,149.2028,0,0
0,149.2057,0,0
0,149.2146,0,0
0,149.2206,0,0
0,149.2591,0,0
0,149.2887,0,0
0,149.2917,0,0
0,149.2976,0,0
0,149.3036,0,0
0,149.3451,0,0
0,149.3967,0,0
0,149.4253,0,0
0,149.4371,0,0
0,149.4817,0,0
0,149.4888,0,0
0,149.5044,0,0
0,149.5055,0,0
0,149.5293,0,0
0,149.5442,0,0
0,149.5858,0,0
0,149.7468,0,0
0,149.8513,0,0
0,149.8841,0,0
0,149.917,0,0
0,150.1135,0,0
0,150.3056,0,0
0,150.4542,0,0
0,150.4753,0,0
0,150.4753,0,0
0,150.6442,0,0
0,150.6683,0,0
0,150.7227,0,0
0,178.3724,0,0
0,178.5282,0,0
0,178.5417,0,0
0,178.592,0,0
0,178.6204,0,0
0,178.6594,0,0
0,178.7026,0,0
0,178.7055,0,0
0,178.7133,0,0
0,178.7552,0,0
0,178.7801,0,0
0,178.8121,0,0
0,178.8725,0,0
0,178.8939,0,0
0,178.9259,0,0
0,179.0114,0,0
0,179.2432,0,0
0,179.3082,0,0
0,179.3397,0,0
0,179.4428,0,0
0,179.4786,0,0
0,179.5545,0,0
0,179.6513,0,0
0,179.6728,0,0
0,179.698,0,0
0,179.7841,0,0
0,179.8231,0,0
0,179.8596,0,0
0,180.1328,0,0
0,180.22,0,0
0,180.2453,0,0
0,180.3501,0,0
0,208.7009,0,0
0,208.7045,0,0
0,208.7708,0,0
0,208.8039,0,0
0,208.8371,0,0
0,208.8371,0,0
0,208.8828,0,0
0,208.9284,0,0
0,208.9741,0,0
0,209.0073,0,0
0,209.0115,0,0
0,209.0364,0,0
0,209.1154,0,0
0,209.1528,0,0
0,209.2319,0,0
0,209.3986,0,0
0,209.4486,0,0
0,209.5035,0,0
0,209.544,0,0
0,209.8625,0,0
0,209.9086,0,0
0,209.9966,0,0
0,210.0763,0,0
0,210.1393,0,0
0,210.1765,0,0
0,210.2527,0,0
0,210.3663,0,0
0,210.4211,0,0
0,210.4842,0,0
0,210.4969,0,0
0,210.7711,0,0
0,210.9403,0,0
0,238.1179,0,0
0,238.1256,0,0
0,238.203,0,0
0,238.2551,0,0
0,238.2646,0,0
0,238.2646,0,0
0,238.2817,0,0
0,238.3309,0,0
0,238.3498,0,0
0,238.3972,0,0
0,238.473,0,0
0,238.4997,0,0
0,238.5157,0,0
0,238.6041,0,0
0,238.6771,0,0
0,238.7151,0,0
0,238.8339,0,0
0,238.8892,0,0
0,238.9356,0,0
0,239.0225,0,0
0,239.175,0,0
0,239.1816,0,0
0,239.2436,0,0
0,239.2675,0,0
0,239.3248,0,0
0,239.5446,0,0
0,239.5954,0,0
0,239.6595,0,0
0,239.8878,0,0
0,240.1268,0,0
0,240.1393,0,0
0,240.2307,0,0
0,268.3115,0,0
0,268.3724,0,0
0,268.4287,0,0
0,268.4821,0,0
0,268.5141,0,0
0,268.5431,0,0
0,268.5781,0,0
0,268.6315,0,0
0,268.6422,0,0
0,268.7063,0,0
0,268.7704,0,0
0,268.8828,0,0
0,268.8904,0,0
0,268.9149,0,0
0,268.9279,0,0
0,268.9684,0,0
0,268.9684,0,0
0,269.0243,0,0
0,269.0969,0,0
0,269.2417,0,0
0,269.2632,0,0
0,269.349,0,0
0,269.494,0,0
0,269.7738,0,0
0,269.9355,0,0
0,269.9971,0,0
0,270.1351,0,0
0,270.3621,0,0
0,270.4704,0,0
0,270.8498,0,0
0,271.127,0,0
0,271.2358,0,0
0,297.791,0,0
0,297.8189,0,0
0,297.8544,0,0
0,297.8739,0,0
0,297.8975,0,0
0,297.9077,0,0
0,297.9195,0,0
0,297.9254,0,0
0,297.9271,0,0
0,297.9474,0,0
0,297.9864,0,0
0,298.1328,0,0
0,298.1861,0,0
0,298.192,0,0
0,298.2039,0,0
0,298.4651,0,0
0,298.5679,0,0
0,298.6078,0,0
0,298.6435,0,0
0,298.6928,0,0
0,298.9293,0,0
0,298.9472,0,0
0,299.0383,0,0
0,299.144,0,0
0,300.018,0,0
0,300.03,0,0
0,300.3426,0,0
0,300.3907,0,0
0,300.4225,0,0
0,300.5714,0,0
0,300.6317,0,0
0,300.6919,0,0
0,327.809,0,0
0,327.86,0,0
0,327.86,0,0
0,328.0044,0,0
0,328.1075,0,0
0,328.2522,0,0
0,328.2587,0,0
0,328.2913,0,0
0,328.3239,0,0
0,328.4154,0,0
0,328.4731,0,0
0,328.4796,0,0
0,328.4807,0,0
0,328.5515,0,0
0,328.5777,0,0
0,328.6049,0,0
0,328.6779,0,0
0,328.69,0,0
0,328.9453,0,0
0,329.1224,0,0
0,329.5888,0,0
0,329.7336,0,0
0,329.7786,0,0
0,329.7995,0,0
0,329.9972,0,0
0,330.0632,0,0
0,330.2877,0,0
0,330.7375,0,0
0,330.7563,0,0
0,330.764,0,0
0,330.7773,0,0
0,331.1488,0,0
0,416.8132,0,0
0,416.9382,0,0
0,417.0195,0,0
0,417.1174,0,0
0,417.2034,0,0
0,417.2229,0,0
0,417.223,0,0
0,417.2545,0,0
0,417.2966,0,0
0,417.3345,0,0
0,417.3602,0,0
0,417.5745,0,0
0,417.715,0,0
0,417.8102,0,0
0,417.8873,0,0
0,418.0249,0,0
0,418.0871,0,0
0,418.1889,0,0
0,418.2565,0,0
0,418.3858,0,0
0,418.5098,0,0
0,418.9775,0,0
0,419.1254,0,0
0,419.2307,0,0
0,419.8539,0,0
0,419.8941,0,0
0,419.9178,0,0
0,420.1894,0,0
0,420.2943,0,0
0,420.4779,0,0
0,420.9695,0,0
0,421.1249,0,0
0,446.9129,0,0
0,446.9528,0,0
0,446.9887,0,0
0,447.0049,0,0
0,447.081,0,0
0,447.1437,0,0
0,447.212,0,0
0,447.2642,0,0
0,447.327,0,0
0,447.3692,0,0
0,447.5846,0,0
0,447.6904,0,0
0,447.7785,0,0
0,447.8573,0,0
0,448.0449,0,0
0,448.06,0,0
0,448.2469,0,0
0,448.2675,0,0
0,448.2949,0,0
0,448.3286,0,0
0,448.5976,0,0
0,449.078,0,0
0,449.6973,0,0
0,450.0726,0,0
0,450.1731,0,0
0,450.3537,0,0
0,450.4501,0,0
0,450.479,0,0
0,450.8253,0,0
0,450.955,0,0
0,451.124,0,0
0,451.1644,0,0
0,486.1485,0,0
0,486.7727,0,0
0,486.8727,0,0
0,487.0214,0,0
0,487.1299,0,0
0,487.4312,0,0
0,487.5998,0,0
0,487.6012,0,0
0,487.6805,0,0
0,487.8461,0,0
0,487.8865,0,0
0,488.2439,0,0
0,488.2678,0,0
0,488.4595,0,0
0,488.6976,0,0
0,488.7803,0,0
0,488.8807,0,0
0,489.3285,0,0
0,489.4653,0,0
0,489.8788,0,0
0,489.9605,0,0
0,490.0114,0,0
0,490.111,0,0
0,490.1206,0,0
0,490.3262,0,0
0,490.3936,0,0
0,490.4848,0,0
0,490.7726,0,0
0,490.7998,0,0
0,490.8662,0,0
0,491.1781,0,0
0,491.2239,0,0
0,536.1717,0,0
0,536.2338,0,0
0,536.2421,0,0
0,536.4034,0,0
0,536.4117,0,0
0,536.5415,0,0
0,536.5518,0,0
0,536.8124,0,0
0,536.8753,0,0
0,537.0498,0,0
0,537.054,0,0
0,537.1288,0,0
0,537.1567,0,0
0,537.5856,0,0
0,537.6042,0,0
0,537.621,0,0
0,537.6612,0,0
0,537.7981,0,0
0,537.8326,0,0
0,537.9589,0,0
0,538.2436,0,0
0,538.2684,0,0
0,538.9076,0,0
0,539.002,0,0
0,539.0177,0,0
0,539.4987,0,0
0,539.6113,0,0
0,539.8588,0,0
0,540.3333,0,0
0,540.459,0,0
0,540.5319,0,0
0,540.6364,0,0
0,555.6858,0,0
0,555.8036,0,0
0,556.0056,0,0
0,556.0942,0,0
0,556.2123,0,0
0,556.2526,0,0
0,556.4479,0,0
0,556.5035,0,0
0,556.5442,0,0
0,556.5957,0,0
0,556.6032,0,0
0,556.6877,0,0
0,556.6917,0,0
0,556.9316,0,0
0,556.9354,0,0
0,557.0943,0,0
0,557.0981,0,0
0,557.1607,0,0
0,557.3161,0,0
0,557.3345,0,0
0,557.4864,0,0
0,557.8568,0,0
0,557.9754,0,0
0,558.443,0,0
0,558.5061,0,0
0,559.094,0,0
0,559.5038,0,0
0,559.9215,0,0
0,559.9778,0,0
0,560.1638,0,0
0,560.4072,0,0
0,561.2016,0,0
0,625.5813,0,0
0,625.7275,0,0
0,625.8124,0,0
0,626.0179,0,0
0,626.0897,0,0
0,626.4719,0,0
0,626.5056,0,0
0,626.562,0,0
0,626.6522,0,0
0,626.7468,0,0
0,626.881,0,0
0,626.8825,0,0
0,626.9221,0,0
0,627.0161,0,0
0,627.0337,0,0
0,627.2379,0,0
0,627.2974,0,0
0,627.345,0,0
0,627.6732,0,0
0,628.1639,0,0
0,628.6376,0,0
0,629.0385,0,0
0,629.556,0,0
0,629.7711,0,0
0,629.8257,0,0
0,629.8894,0,0
0,630.2339,0,0
0,630.2958,0,0
0,630.8029,0,0
0,631.2158,0,0
0,631.6069,0,0
0,631.7748,0,0
0,655.0137,0,0
0,655.1583,0,0
0,655.6011,0,0
0,655.6302,0,0
0,655.7007,0,0
0,655.7216,0,0
0,655.7522,0,0
0,656.0161,0,0
0,656.1338,0,0
0,656.2333,0,0
0,656.2532,0,0
0,656.5161,0,0
0,656.5779,0,0
0,656.7556,0,0
0,656.8979,0,0
0,656.9494,0,0
0,657.135,0,0
0,657.531,0,0
0,657.707,0,0
0,657.8604,0,0
0,658.0497,0,0
0,658.2057,0,0
0,658.7977,0,0
0,658.9203,0,0
0,658.9702,0,0
0,659.2831,0,0
0,659.4971,0,0
0,659.5161,0,0
0,660.2143,0,0
0,660.4214,0,0
0,660.6801,0,0
0,661.0508,0,0
0,715.651,0,0
0,715.7224,0,0
0,715.9413,0,0
0,716.0723,0,0
